gene	"prtbpca_1"	"prtbpca_2"	"prtbpca_3"	"prtbpca_4"	"prtbpca_5"	"prtbpca_6"	"prtbpca_7"	"prtbpca_8"	"prtbpca_9"	"prtbpca_10"	"prtbpca_11"	"prtbpca_12"	"prtbpca_13"	"prtbpca_14"	"prtbpca_15"	"prtbpca_16"	"prtbpca_17"	"prtbpca_18"	"prtbpca_19"	"prtbpca_20"	"prtbpca_21"	"prtbpca_22"	"prtbpca_23"	"prtbpca_24"	"prtbpca_25"	"prtbpca_26"	"prtbpca_27"	"prtbpca_28"	"prtbpca_29"	"prtbpca_30"	"prtbpca_31"	"prtbpca_32"	"prtbpca_33"	"prtbpca_34"	"prtbpca_35"	"prtbpca_36"	"prtbpca_37"	"prtbpca_38"	"prtbpca_39"	"prtbpca_40"	"prtbpca_41"	"prtbpca_42"	"prtbpca_43"	"prtbpca_44"	"prtbpca_45"	"prtbpca_46"	"prtbpca_47"	"prtbpca_48"	"prtbpca_49"	"prtbpca_50"
STAT2	0.4028804428073272	0.2966894635697868	-0.8800725296575197	-0.1433398202089472	0.5584442951963322	-1.7697310535363497	-0.07039040768360492	0.4488440558493186	0.050505947442648046	-0.5025129369714889	0.18047569512751285	0.256178887223685	0.6322397559635669	-0.2042962475594888	0.13015719886638485	-0.24837665450180915	-0.44110035515815676	-0.2412925851589657	0.24377004063253893	-0.08874994620836875	-0.2126380969233396	0.01310769124095925	0.06510579556691046	-0.15610206437881724	-0.11485259585089916	0.05193544327747578	-0.08574079106673778	0.08631385825498142	-0.11429252277593938	0.1287682635445311	0.060674292880935406	0.09004893986463038	-0.006360172646411785	0.0319671134026103	-0.06143568804413726	-0.0059791256883524446	-0.03278269940913097	-0.06418799218914073	0.027358178104736206	0.010928745869227763	-0.012216500212700451	0.0009170274972000024	-0.02921173531947748	-0.039442110093222287	-0.009957523478602638	0.12055178178611654	0.08015778505654378	0.07423852840988115	0.04818217429534439	-0.03597305999105217
STAT1	-5.852710363872948	0.8526637240507707	-0.152826024043697	0.07515356186268847	0.46645430724035997	-1.6937580632442852	0.08236454367809136	0.5337454362187459	0.2215420316517221	-0.3015522286607656	0.39750815894079694	0.3849449682709284	0.45533137929966255	-0.263813112864128	-0.07103248671819737	-0.24680975738059877	-0.48887185721811505	-0.04271439914654503	0.2592692757228887	-0.12884253047557262	-0.15448929565732655	0.04623675027295966	-0.08190123119145616	-0.1370390312471524	-0.1507116461046275	0.19529179376274727	0.010619884809504255	0.20636518085071553	-0.27977778603341846	-0.19393180348981096	0.07684637192834484	0.10715583808675466	0.024203210145000754	-0.06116871261880482	-0.021063506356240193	0.0010717981368191633	0.25174933205843864	0.004511751169956802	0.033782720383048255	0.0839311745601338	-0.09519330212340159	-0.1294397554507083	0.08164885114591751	-0.09854195087267864	-0.10569604888436547	-0.019500087005393837	0.11769474406984824	0.16686829238171325	0.19819281886292126	-0.011796234163338543
NT	1.0579407810857144	-0.006206144652813288	-0.1724753619717085	0.028983996700032474	-0.0944882592205081	0.04258546498278481	-0.08630276788445922	0.014775805772536113	-0.051381662597075786	-0.03247428280927336	-0.0826012056358063	0.029765777867021195	0.022858752749452267	0.015922266260185038	-0.020270296578487963	-0.02224494470894652	-0.058016300394667986	-0.0401418444259784	-0.038662954620617904	0.034196459950507394	-0.028186124815464397	0.011552036993380529	0.002648047269049068	0.011201021302301313	-0.06058664349813578	0.033733319230381684	0.018556756661494304	-0.01086550864588838	-0.009394522754098356	-0.007640576757272563	0.004663612082515056	-0.0013961014810096903	-0.0018379810099800218	-0.0057869244602657514	0.017407237424659244	-0.009787265094795265	-0.012991156869157808	0.021114918062815635	-0.004753964264869402	-0.041447579846073175	-0.007398795621435101	0.025583504428373156	0.004398282887813483	0.014332162028225475	-0.04653036613957879	-0.02937409054867648	-0.004336798009127268	-0.019775894825076735	-0.02025131424765693	-0.004513848382746321
SMAD4	0.7934035758530316	-1.2560071436626945	-0.24319162113931797	-0.8118017831656734	1.9788436631334227	0.36808472863340364	-0.4659174302499339	-0.6209386323316873	0.7566638257788325	0.8185306649970338	0.2455716487147927	-0.009378708211563114	0.4092873530648358	0.7780491867524445	0.00167911780981021	-0.21115885433024004	0.15659800392070117	0.24382887857737037	-0.13229541951065324	-0.1264494428973848	-0.1952707581777835	-0.3461965233700925	0.010584158912218025	0.3979978893506277	0.5687121488267438	-0.033670193463447705	-0.6096315786715357	0.43057102827089305	-0.5304235043927295	-0.20754277700529802	-0.029838456969328256	-0.3265574157199937	0.29352642875635276	-0.4486853767399785	0.003720363993515315	0.16866907868870157	0.4045586519365041	-0.3733590296709839	-0.14280226679300487	-0.46645829094683067	0.13056541569642097	-0.269647040626581	0.10666514892248304	-0.15355685757879248	0.17169580892328706	0.08026404165823833	-0.006302445295084138	-0.08703538654033127	0.1330457389825582	-0.06735851710995895
JAK2	-5.296433726940413	0.42892695677825776	0.6566200465797019	0.29384346672920614	-0.33725577613558855	0.32248506152075423	0.22219892714341724	-0.16512455863390182	0.33558403954967064	0.11859635783114574	0.1356604274445551	-0.23009415647084844	-0.2310475753292041	-0.040673855542710434	-0.09529753426165498	0.09291921234280394	0.018772395021446783	0.02814865561691629	-0.14930345630503786	-0.04768098103812383	-0.1172746069507269	-0.015280926226747106	-0.07545994594887934	-0.16875301180313823	0.06542118818993549	0.04973778519459862	0.0870908677026478	-0.000816687821552612	-0.06481707164232586	0.03416266037310568	0.033469499519993805	0.0265628855430375	0.0135694274019251	-0.07904203288985781	0.021264407523417742	-0.040869438622637824	-0.07841586377815729	-0.0039051744889594233	-0.09039193936390313	0.05630827684779656	-0.03696453956418863	-0.06440976169200491	0.18575294170749873	0.034000414707660284	0.002289904616299583	-0.002946561158004145	0.04060752205927439	-0.020082191712561558	0.025033434591245973	0.04515675826818044
IFNGR1	-5.035953581907621	0.4331335849406442	0.6109925098658656	0.11620963479881395	-0.2827190392144037	0.3799211786243579	0.26205675923737726	-0.0566632748902442	0.31134904659179785	0.1010302859626701	0.11058331358951701	-0.10170182784058414	-0.2206262987776287	-0.05298506037575491	-0.015761652965336843	-0.01886154503572375	0.0824760171270535	0.02076410050507205	-0.10665273797422567	-0.020995089212631587	-0.09023570530895851	-0.031111296088380497	-0.08095392808735498	-0.2565344508177332	0.07227421526657174	0.001023702940365968	0.12243893239700784	-0.026807603639072003	0.0339762575460734	-0.03062627172192567	0.03402921299155226	0.0961213594929399	-0.018007284966879734	0.059259540115964175	0.043122563346705285	0.007913042440650308	0.06765797402105478	-0.01873229982458703	-0.10003405020633231	0.017675470601186242	-0.013654913414431438	-0.0933567037710577	0.14268528643302505	0.002616001041221706	0.005483116641614985	0.09082383209226771	0.018315102922382066	0.023829751196684068	0.030098544855456485	0.012581330997326208
CUL3	0.7477508420648877	-0.004213148390054893	0.5709531380011854	-0.3859163953942834	-0.020794994876313172	-1.4125140949113861	-0.20839109001029218	0.23687639284165216	-0.6053488097489924	1.19275241900394	1.7142795373640862	-0.05081852652453241	0.5542208715930291	-0.09538150386206887	0.15408564917559922	-0.15389330882362487	0.5234365025728493	0.22948054599816767	0.11792447258571583	0.5939097772797657	0.5997133730398818	0.5576018456146626	-0.1437748830278415	-0.17287586531012875	-0.10141559646023662	0.21739441057189596	-0.47425391148182866	-0.7350186152614967	-0.028811278696635214	0.3041741999229243	0.28485390358161294	-0.04137670664748587	-0.010022965841230297	-0.12403918376493421	0.2911432686057453	0.10795569830703146	0.042623951008272404	-0.34764069802590813	-0.20907189578961538	0.2256441259938742	0.6837461255561175	-0.04743634159091578	0.5014829648592384	0.39221592385763066	-0.2677067666559654	-0.06897578475408246	-0.12247642597009561	-0.44738071544059566	0.2097340624205582	0.6022840123918726
IRF1	-1.0443191484506207	-0.4883173737454296	2.0008172244799107	-0.7211998464719128	0.3109673994666388	-0.12181147248269399	0.7580642508109761	0.21571069491990524	-0.6506451276062892	-0.29078112121128846	-0.29151552779237905	0.02039815754258636	-0.2858130818081431	-0.6289137518470043	-0.13394811336992013	0.4375607993656655	0.8793493101104082	0.4321360299430968	0.7123388034751129	-0.6485101751147324	0.7401516353185154	0.7168327217911801	0.10844783881642583	0.7607560975263303	0.4842943325775734	-0.9135804489442837	-0.21021516551095004	-0.1753698303192042	-0.16956503998479458	0.5114794365361349	-0.15209960337888428	0.07569547405224958	0.08314107782994319	0.4560381150799178	-0.21379134710646408	0.21715424067290515	-0.059003843816860024	0.13521476358171647	0.2658519631968987	-0.05595111342413897	0.17782560419308957	-0.161800034847875	-0.34536858753913463	-0.19865820636490358	0.1818812143105008	-0.29721785761286196	-0.029769227322073138	-0.045146389634822266	-0.1327112134776103	-0.35085049377834693
BRD4	0.3811555627982942	-2.1557856276016563	0.46518030164255525	-0.05571979187457709	0.443096430036233	-0.29282752630436504	0.846292984464228	0.8147173635559414	-0.11805479759318128	0.3796350100354223	0.46081292330836615	0.06036297854477303	0.24976668909845495	0.023882487114020818	0.7215230688205472	-0.275987456363653	0.20978942538742545	-0.4145913817593681	-0.02547666838921243	1.1239925114536888	-1.2421483839944734	0.09112941286806701	0.14426262359011174	0.15267073187701455	0.29294700486939484	0.6451878086732596	0.25677513613848413	0.7522299168501863	0.2854237955238638	0.46910166128268754	0.24679828400158224	-0.15583779701749606	-0.07721664569731095	-0.1276383442804922	-0.03751062208813193	0.29186787678302734	0.7900434587729431	-0.01583763078581952	-0.20593623184253917	0.0073011537361388	-0.2272179334451686	0.22613819934305424	0.009457667041946609	0.3155741204070505	0.14030502368699221	-0.1754002858490702	-0.42198298972016335	0.17665691087210256	-0.006809982731945023	0.1613051116228875
IFNGR2	-5.176211503825747	0.48676076312836014	0.5763691272356001	0.3287497778765116	-0.262639022650044	0.228329814750098	0.07523514924156548	-0.22168121364125565	0.2326470248475042	0.11592184803384195	0.17406410047209617	-0.03994167709023336	-0.2544393766052442	-0.02754965410597338	-0.03723287885514539	-0.006328253813359496	0.06877294507802821	0.014259820453421368	-0.1371320887069976	-0.06756011511578312	-0.05320738969093828	-0.09529039027049102	-0.03797350305692874	-0.14542284865088645	0.03081660639409366	-0.00026053598012509057	0.22943178424085842	0.00014265418459720737	-0.03307715853154168	-0.05744906776106592	0.031304677971266986	0.15005008596173833	0.0403712429970323	0.029797936048460923	0.00785001407590177	-0.044445106238014204	0.07608470298800783	-0.005541784015717757	-0.09198886516096667	0.0403145973045579	-0.017861540622657594	-0.09717232276557654	0.17354567050537714	-0.025322253307618788	0.031475391013333506	0.017285019692164012	0.003834704461276161	-0.01298931922944718	0.04270696416306352	0.06689195831807274
